Epoch 1, loss 31.332058919892862, train accuracy: 49.78%, Validation accuracy: 49.00%, Best Valid accuracy: 49.00%
Epoch 2, loss 30.96267533496631, train accuracy: 52.00%, Validation accuracy: 51.00%, Best Valid accuracy: 51.00%
Epoch 3, loss 30.48669206753539, train accuracy: 56.67%, Validation accuracy: 52.00%, Best Valid accuracy: 52.00%
Epoch 4, loss 30.225787827837888, train accuracy: 60.22%, Validation accuracy: 51.00%, Best Valid accuracy: 52.00%
Epoch 5, loss 29.81655304501054, train accuracy: 60.00%, Validation accuracy: 59.00%, Best Valid accuracy: 59.00%
Epoch 6, loss 29.229625139474802, train accuracy: 64.00%, Validation accuracy: 56.00%, Best Valid accuracy: 59.00%
Epoch 7, loss 28.54292985664772, train accuracy: 65.33%, Validation accuracy: 48.00%, Best Valid accuracy: 59.00%
Epoch 8, loss 27.96956333426787, train accuracy: 65.33%, Validation accuracy: 59.00%, Best Valid accuracy: 59.00%
Epoch 9, loss 27.279323424147847, train accuracy: 68.00%, Validation accuracy: 57.00%, Best Valid accuracy: 59.00%
Epoch 10, loss 26.46717943323537, train accuracy: 70.00%, Validation accuracy: 51.00%, Best Valid accuracy: 59.00%
Epoch 11, loss 25.37991911528295, train accuracy: 71.33%, Validation accuracy: 66.00%, Best Valid accuracy: 66.00%
Epoch 12, loss 24.999214161648794, train accuracy: 72.00%, Validation accuracy: 60.00%, Best Valid accuracy: 66.00%
Epoch 13, loss 23.986512449846288, train accuracy: 74.89%, Validation accuracy: 64.00%, Best Valid accuracy: 66.00%
Epoch 14, loss 23.096248783474955, train accuracy: 73.78%, Validation accuracy: 61.00%, Best Valid accuracy: 66.00%
Epoch 15, loss 22.5621576356355, train accuracy: 75.78%, Validation accuracy: 67.00%, Best Valid accuracy: 67.00%
Epoch 16, loss 22.224992933819482, train accuracy: 73.56%, Validation accuracy: 70.00%, Best Valid accuracy: 70.00%
Epoch 17, loss 20.31021196854559, train accuracy: 79.78%, Validation accuracy: 68.00%, Best Valid accuracy: 70.00%
Epoch 18, loss 19.868808216665144, train accuracy: 81.11%, Validation accuracy: 63.00%, Best Valid accuracy: 70.00%
Epoch 19, loss 19.541406436660132, train accuracy: 78.44%, Validation accuracy: 69.00%, Best Valid accuracy: 70.00%
Epoch 1, loss 31.764559829926867, train accuracy: 50.00%, Validation accuracy: 48.00%, Best Valid accuracy: 48.00%
Epoch 2, loss 31.23177932893128, train accuracy: 55.33%, Validation accuracy: 53.00%, Best Valid accuracy: 53.00%
Epoch 3, loss 30.962017248884727, train accuracy: 57.33%, Validation accuracy: 62.00%, Best Valid accuracy: 62.00%
Epoch 4, loss 30.526182803370613, train accuracy: 56.22%, Validation accuracy: 48.00%, Best Valid accuracy: 62.00%
Epoch 5, loss 30.391670867559142, train accuracy: 58.00%, Validation accuracy: 61.00%, Best Valid accuracy: 62.00%
Epoch 6, loss 30.010074089881172, train accuracy: 59.33%, Validation accuracy: 49.00%, Best Valid accuracy: 62.00%
Epoch 7, loss 29.529630579465685, train accuracy: 64.89%, Validation accuracy: 64.00%, Best Valid accuracy: 64.00%
Epoch 8, loss 28.977434884675827, train accuracy: 63.11%, Validation accuracy: 49.00%, Best Valid accuracy: 64.00%
Epoch 9, loss 28.435306743988924, train accuracy: 65.78%, Validation accuracy: 55.00%, Best Valid accuracy: 64.00%
Epoch 10, loss 27.390511867915798, train accuracy: 72.22%, Validation accuracy: 61.00%, Best Valid accuracy: 64.00%
Epoch 11, loss 26.813604699846405, train accuracy: 68.89%, Validation accuracy: 51.00%, Best Valid accuracy: 64.00%
Epoch 12, loss 25.98729285553066, train accuracy: 71.56%, Validation accuracy: 71.00%, Best Valid accuracy: 71.00%
Epoch 13, loss 25.481143878429396, train accuracy: 69.33%, Validation accuracy: 71.00%, Best Valid accuracy: 71.00%
Epoch 14, loss 24.412582995817257, train accuracy: 74.67%, Validation accuracy: 66.00%, Best Valid accuracy: 71.00%
Epoch 15, loss 23.996089548941058, train accuracy: 76.22%, Validation accuracy: 67.00%, Best Valid accuracy: 71.00%
Epoch 16, loss 22.904689053453925, train accuracy: 73.78%, Validation accuracy: 65.00%, Best Valid accuracy: 71.00%
Epoch 17, loss 21.648704329913556, train accuracy: 78.22%, Validation accuracy: 68.00%, Best Valid accuracy: 71.00%
Epoch 18, loss 20.98730393857174, train accuracy: 76.44%, Validation accuracy: 72.00%, Best Valid accuracy: 72.00%
Epoch 19, loss 20.279611971177868, train accuracy: 77.78%, Validation accuracy: 62.00%, Best Valid accuracy: 72.00%
Epoch 20, loss 20.10424913284878, train accuracy: 80.67%, Validation accuracy: 72.00%, Best Valid accuracy: 72.00%
Epoch 21, loss 19.65740083384329, train accuracy: 76.00%, Validation accuracy: 71.00%, Best Valid accuracy: 72.00%
Epoch 22, loss 18.17067202724143, train accuracy: 82.22%, Validation accuracy: 74.00%, Best Valid accuracy: 74.00%
Epoch 23, loss 17.19340785956969, train accuracy: 82.67%, Validation accuracy: 69.00%, Best Valid accuracy: 74.00%
Epoch 24, loss 17.664194807832473, train accuracy: 79.11%, Validation accuracy: 70.00%, Best Valid accuracy: 74.00%
Epoch 25, loss 15.746270505079071, train accuracy: 84.67%, Validation accuracy: 69.00%, Best Valid accuracy: 74.00%
Epoch 26, loss 15.149950636337392, train accuracy: 85.11%, Validation accuracy: 78.00%, Best Valid accuracy: 78.00%
Epoch 27, loss 16.01614951919154, train accuracy: 84.44%, Validation accuracy: 72.00%, Best Valid accuracy: 78.00%
Epoch 28, loss 15.265173278366726, train accuracy: 82.67%, Validation accuracy: 74.00%, Best Valid accuracy: 78.00%
Epoch 29, loss 14.775842133741305, train accuracy: 82.44%, Validation accuracy: 73.00%, Best Valid accuracy: 78.00%
Epoch 30, loss 13.751208903863997, train accuracy: 86.67%, Validation accuracy: 72.00%, Best Valid accuracy: 78.00%
Epoch 31, loss 13.911543154977158, train accuracy: 84.89%, Validation accuracy: 78.00%, Best Valid accuracy: 78.00%
Epoch 32, loss 13.15977357424538, train accuracy: 86.44%, Validation accuracy: 71.00%, Best Valid accuracy: 78.00%
Epoch 33, loss 12.67525411799803, train accuracy: 87.78%, Validation accuracy: 71.00%, Best Valid accuracy: 78.00%
Epoch 34, loss 12.60052710464819, train accuracy: 87.33%, Validation accuracy: 76.00%, Best Valid accuracy: 78.00%
Epoch 35, loss 12.466903116683818, train accuracy: 85.78%, Validation accuracy: 77.00%, Best Valid accuracy: 78.00%
Epoch 36, loss 11.949170871397843, train accuracy: 88.00%, Validation accuracy: 75.00%, Best Valid accuracy: 78.00%
Epoch 37, loss 12.411007569229378, train accuracy: 84.00%, Validation accuracy: 73.00%, Best Valid accuracy: 78.00%
Epoch 38, loss 12.847419084618274, train accuracy: 84.22%, Validation accuracy: 69.00%, Best Valid accuracy: 78.00%
Epoch 39, loss 11.990357843723386, train accuracy: 85.33%, Validation accuracy: 74.00%, Best Valid accuracy: 78.00%
Epoch 40, loss 10.287008826513466, train accuracy: 88.22%, Validation accuracy: 70.00%, Best Valid accuracy: 78.00%
Epoch 41, loss 11.191152658416446, train accuracy: 86.67%, Validation accuracy: 72.00%, Best Valid accuracy: 78.00%
Epoch 42, loss 11.60633156023309, train accuracy: 85.33%, Validation accuracy: 71.00%, Best Valid accuracy: 78.00%
Epoch 43, loss 10.31818207585863, train accuracy: 88.00%, Validation accuracy: 71.00%, Best Valid accuracy: 78.00%
Epoch 44, loss 11.102687270024838, train accuracy: 86.44%, Validation accuracy: 71.00%, Best Valid accuracy: 78.00%
Epoch 45, loss 11.122588784680568, train accuracy: 85.33%, Validation accuracy: 71.00%, Best Valid accuracy: 78.00%
Epoch 46, loss 11.450512890821011, train accuracy: 86.89%, Validation accuracy: 71.00%, Best Valid accuracy: 78.00%
Epoch 47, loss 12.31741869265421, train accuracy: 84.00%, Validation accuracy: 71.00%, Best Valid accuracy: 78.00%
Epoch 48, loss 9.373502825007115, train accuracy: 89.56%, Validation accuracy: 70.00%, Best Valid accuracy: 78.00%
Epoch 49, loss 10.282252753213823, train accuracy: 85.78%, Validation accuracy: 70.00%, Best Valid accuracy: 78.00%
Epoch 50, loss 9.664182631070595, train accuracy: 88.44%, Validation accuracy: 70.00%, Best Valid accuracy: 78.00%
Epoch 51, loss 9.8148628167071, train accuracy: 87.33%, Validation accuracy: 73.00%, Best Valid accuracy: 78.00%
